Time,BPM,GSR,EmotionState
14:56:48,94,435,Relax
14:56:49,94,427,Relax
14:56:50,96,436,Relax
14:56:50,96,429,Relax
14:56:51,96,434,Relax
14:56:52,94,429,Relax
14:56:52,93,435,Relax
14:56:53,93,425,Relax
14:56:54,92,433,Relax
14:56:54,91,433,Relax
14:56:55,89,440,Relax
14:56:56,87,440,Relax
14:56:57,86,435,Relax
14:56:57,86,436,Relax
14:56:58,86,441,Relax
14:56:59,87,438,Relax
14:56:59,86,437,Relax
14:57:00,84,437,Relax
14:57:01,84,427,Relax
14:57:02,83,438,Relax
14:57:02,82,436,Relax
14:57:03,82,442,Relax
14:57:04,81,437,Relax
14:57:05,80,439,Relax
14:57:05,80,438,Relax
14:57:06,80,437,Relax
14:57:07,80,439,Relax
14:57:08,80,442,Relax
14:57:08,80,444,Relax
14:57:09,80,439,Relax
14:57:10,80,448,Relax
14:57:11,81,442,Relax
14:57:11,81,443,Relax
14:57:12,82,448,Relax
14:57:13,82,451,Relax
14:57:13,82,456,Relax
14:57:14,83,457,Relax
14:57:15,84,450,Relax
14:57:15,84,446,Relax
14:57:16,84,436,Relax
14:57:17,84,432,Relax
14:57:18,84,432,Relax
14:57:18,84,425,Relax
14:57:19,84,420,Relax
14:57:20,83,428,Relax
14:57:21,83,426,Relax
14:57:21,84,431,Relax
14:57:22,84,433,Relax
14:57:22,88,422,Relax
14:57:22,94,434,Relax
14:57:23,94,422,Relax
14:57:24,92,426,Relax
14:57:25,91,425,Relax
14:57:26,90,434,Relax
14:57:27,89,430,Relax
14:57:27,87,422,Relax
14:57:28,85,433,Relax
14:57:29,83,434,Relax
14:57:30,78,426,Relax
14:57:31,74,425,Relax
14:57:31,74,433,Relax
14:57:32,77,431,Relax
14:57:33,76,442,Relax
14:57:34,76,438,Relax
14:57:35,75,433,Relax
14:57:35,76,436,Relax
14:57:36,77,437,Relax
14:57:37,77,436,Relax
14:57:38,77,433,Relax
14:57:38,76,436,Relax
14:57:39,75,439,Relax
14:57:40,75,438,Relax
14:57:41,75,438,Relax
14:57:41,76,440,Relax
14:57:42,78,436,Relax
14:57:43,78,435,Relax
14:57:44,78,439,Relax
14:57:44,78,436,Relax
14:57:45,78,441,Relax
14:57:46,79,438,Relax
14:57:47,79,438,Relax
14:57:47,79,441,Relax
14:57:48,79,433,Relax
14:57:49,79,435,Relax
14:57:50,80,437,Relax
14:57:50,80,436,Relax
14:57:51,80,436,Relax
14:57:52,80,434,Relax
14:57:53,80,435,Relax
14:57:53,81,436,Relax
14:57:54,81,891,Relax
14:57:55,81,440,Relax
14:57:55,82,433,Relax
14:57:56,81,438,Relax
14:57:57,81,438,Relax
14:57:58,81,436,Relax
14:57:58,81,437,Relax
14:57:59,82,433,Relax
14:58:00,82,433,Relax
14:58:01,82,433,Relax
14:58:01,82,431,Relax
14:58:02,82,425,Relax
14:58:03,81,431,Relax
14:58:04,82,423,Relax
14:58:04,83,436,Relax
14:58:05,83,433,Relax
14:58:06,83,432,Relax
14:58:06,83,435,Relax
14:58:07,83,426,Relax
14:58:08,82,429,Relax
14:58:09,81,418,Relax
14:58:09,81,416,Relax
14:58:10,82,409,Relax
14:58:11,82,415,Relax
14:58:11,83,413,Relax
14:58:12,83,418,Relax
14:58:13,83,419,Relax
14:58:14,80,416,Relax
14:58:15,78,420,Relax
